Perfil_Turista,Brasil,Rio_de_Janeiro,Sao_Paulo,Porto_Alegre
Permanência média ,"12,2 dias","9,29 dias","7,23 dias","6,73 dias"
Gasto médio per capita/dia (US$),81.21,99.98,126.55,97.23
Gasto médio per capita/dia (dos Hospedados em hotéis) (US$),0,0,0,0
Gasto médio per capita/dia (somente com hotel) (US$),0,0,0,0
Renda Média Anual Individual (US$),34726.74,45126.08,51855.43,34355.87
Meio de hospedagem utilizado (%),100,100,100,100
Hotel,69.8,79.71,72.63,69.11
Casa de amigos/parentes,19.77,10.48,24.2,25.2
Apartamento de aluguel,6.61,7.24,1.73,1.62
Outros,3.82,2.57,1.44,4.07
Engenheiro,10.19,12.41,14.41,12.39
Comerciante,10.41,6.64,5.81,12.39
Administrador,3.28,3.89,6.88,0
Professor,5.63,5.92,5.59,7.96
Pensionista,0,0,0,0
Contador,0,0,0,0
Empresário,4.72,5.34,7.1,5.75
Médico,3.81,0,0,0
Estudante,6.06,6.35,4.95,0
Advogado,0,0,0,0
Analista de Sistemas,0,0,4.09,0
Industrial,0,0,0,0
Influências na decisão da visita (%),100,100,100,100
Amigos,47.36,45.85,37.87,23.28
Televisão,8.24,18.66,26.23,40.78
Outros meios de comunicação,27.88,16.34,8.03,18.48
Folder de agência,6.16,5.89,21.31,12
Revista,4.63,6.45,2.62,0.78
Jornal ,2.59,3.13,1.64,2.34
Livros,0,0,0,0
Internet,3.14,3.68,2.3,1.56
Cinema,0,0,0,0
Rádio,0,0,0,0.78
Limpeza pública,12.14,14.76,15.18,9.17
Rodovias,13.09,0,0,6.59
Comunicações,10.55,17.84,11.41,7.14
Sinalização turística,15.78,15.2,17.2,15.38
Segurança pública,9.05,12.55,15.42,7.73
Transporte urbano,7.71,7.28,11.99,5.51
Informações turísticas,5.35,3.22,8.33,-
Táxis,5.82,4.58,5,4.58
Aeroportos,0,0,0,0
Comércio,0,0,0,0
Guias de turismo,2.78,3.07,5.63,-
Restaurantes,0.79,0.8,0.36,0.34
Hotelaria,1.71,2.69,0.58,-
Diversões noturnas,3.16,2.21,1.58,5.36
